Year,Crime,Romance,Fantasy,Drama,Western,Adventure,Comedy,Action,Horror,History,Music,Mystery,Animation,Thriller,War,Family,Science Fiction,Documentary,TV Movie
1913,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1914,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1915,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1916,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1919,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1921,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1922,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1923,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1924,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1925,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1926,0,0,0,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0
1927,0,0,0,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
1928,1,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,0,1,0,1,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0
1930,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1931,3,1,0,4,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
1932,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,0,0,0,6,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0
1934,0,0,0,3,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0
1935,3,0,0,3,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0
1936,1,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
1937,0,0,1,4,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0
1938,0,2,0,3,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0
1939,0,1,0,3,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0
1940,0,1,0,4,0,1,3,2,0,0,0,1,2,0,0,0,0,0,0
1941,0,0,0,1,0,1,4,0,0,1,0,3,2,0,0,0,0,0,0
1942,3,1,0,1,0,1,3,2,1,0,1,1,1,1,0,0,0,0,0
1943,0,1,1,4,0,0,5,1,1,0,0,0,1,1,2,0,0,0,0
1944,1,0,0,4,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0
1945,2,0,1,5,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0
1946,2,1,0,5,2,0,1,0,0,0,1,2,0,2,0,1,0,0,0
1947,1,1,0,3,1,1,6,0,0,0,0,4,0,0,0,0,0,0,0
1948,0,1,0,2,3,1,3,1,0,0,0,0,1,2,0,0,0,0,0
1949,1,1,0,7,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0
1950,1,0,0,3,0,0,2,1,0,0,2,0,0,1,1,1,1,0,0
1951,2,1,0,10,0,0,3,0,0,0,0,1,1,1,0,0,1,0,0
1952,1,2,0,3,1,3,3,0,0,0,1,0,0,0,1,0,0,0,0
1953,0,1,0,9,0,0,6,0,2,0,0,0,1,1,1,0,1,0,0
1954,1,0,0,5,0,3,2,2,0,1,0,0,0,3,1,0,1,0,0
1955,3,0,0,5,1,1,5,0,0,0,0,2,0,1,0,1,3,0,0
1956,1,0,0,14,0,2,2,0,1,0,0,0,0,1,0,0,2,0,0
1957,1,0,0,13,1,1,5,0,3,0,0,0,0,0,0,0,0,0,0
1958,3,1,0,4,1,0,2,1,4,1,1,1,0,0,0,0,1,0,0
1959,2,1,1,3,1,1,4,2,1,1,1,1,0,1,0,0,0,0,0
1960,0,0,0,4,3,3,7,1,4,1,0,0,0,1,1,0,0,0,0
1961,2,1,0,8,2,3,5,0,1,0,0,0,0,0,1,0,0,0,0
1962,1,0,0,7,2,4,1,0,1,0,0,0,0,2,1,1,0,0,0
1963,0,0,0,3,1,3,5,4,2,0,0,0,1,0,0,0,0,0,0
1964,1,1,0,5,1,2,5,1,1,0,1,0,0,1,1,0,0,0,0
1965,0,1,0,11,3,1,10,2,0,0,0,0,3,0,1,0,0,0,0
1966,1,2,0,10,2,2,1,2,1,2,1,0,0,1,0,0,1,0,0
1967,6,0,0,5,1,4,10,6,0,0,0,0,0,1,0,1,0,0,0
1968,2,0,1,10,2,0,4,3,1,0,1,0,0,0,1,0,3,0,0
1969,2,1,0,4,2,3,6,1,0,0,0,0,0,0,1,0,0,0,0
1970,0,1,0,5,3,5,4,1,1,1,0,0,1,0,2,0,0,2,0
1971,0,0,0,8,0,2,2,8,2,0,0,0,1,1,0,1,3,0,0
1972,4,1,0,4,1,3,6,6,0,0,0,2,1,1,0,0,0,0,0
