Year,Attribute,Value
1913,Crime,1
1913,Romance,0
1913,Fantasy,0
1913,Drama,0
1913,Western,0
1913,Adventure,0
1913,Comedy,0
1913,Action,0
1913,Horror,0
1913,History,0
1913,Music,0
1913,Mystery,0
1913,Animation,0
1913,Thriller,0
1913,War,0
1913,Family,0
1913,Science Fiction,0
1913,Documentary,0
1913,TV Movie,0
1914,Crime,0
1914,Romance,1
1914,Fantasy,1
1914,Drama,0
1914,Western,0
1914,Adventure,0
1914,Comedy,0
1914,Action,0
1914,Horror,0
1914,History,0
1914,Music,0
1914,Mystery,0
1914,Animation,0
1914,Thriller,0
1914,War,0
1914,Family,0
1914,Science Fiction,0
1914,Documentary,0
1914,TV Movie,0
1915,Crime,0
1915,Romance,0
1915,Fantasy,0
1915,Drama,3
1915,Western,1
1915,Adventure,0
1915,Comedy,0
1915,Action,0
1915,Horror,0
1915,History,0
1915,Music,0
1915,Mystery,0
1915,Animation,0
1915,Thriller,0
1915,War,0
1915,Family,0
1915,Science Fiction,0
1915,Documentary,0
1915,TV Movie,0
1916,Crime,0
1916,Romance,0
1916,Fantasy,1
1916,Drama,2
1916,Western,0
1916,Adventure,1
1916,Comedy,0
1916,Action,0
1916,Horror,0
1916,History,0
1916,Music,0
1916,Mystery,0
1916,Animation,0
1916,Thriller,0
1916,War,0
1916,Family,0
1916,Science Fiction,0
1916,Documentary,0
1916,TV Movie,0
1918,Crime,0
1918,Romance,0
1918,Fantasy,1
1918,Drama,0
1918,Western,0
1918,Adventure,0
1918,Comedy,1
1918,Action,0
1918,Horror,0
1918,History,0
1918,Music,0
1918,Mystery,0
1918,Animation,0
1918,Thriller,0
1918,War,0
1918,Family,0
1918,Science Fiction,0
1918,Documentary,0
1918,TV Movie,0
1919,Crime,0
1919,Romance,0
1919,Fantasy,0
1919,Drama,1
1919,Western,0
1919,Adventure,0
1919,Comedy,0
1919,Action,0
1919,Horror,0
1919,History,0
1919,Music,0
1919,Mystery,0
1919,Animation,0
1919,Thriller,0
1919,War,0
1919,Family,0
1919,Science Fiction,0
1919,Documentary,0
1919,TV Movie,0
1920,Crime,0
1920,Romance,0
1920,Fantasy,0
1920,Drama,2
1920,Western,0
1920,Adventure,0
1920,Comedy,0
1920,Action,0
1920,Horror,0
1920,History,0
1920,Music,0
1920,Mystery,0
1920,Animation,0
1920,Thriller,0
1920,War,0
1920,Family,0
1920,Science Fiction,0
1920,Documentary,0
1920,TV Movie,0
1921,Crime,0
1921,Romance,1
1921,Fantasy,0
1921,Drama,0
1921,Western,0
1921,Adventure,0
1921,Comedy,1
1921,Action,0
1921,Horror,0
1921,History,0
1921,Music,0
1921,Mystery,0
1921,Animation,0
1921,Thriller,0
1921,War,0
1921,Family,0
1921,Science Fiction,0
1921,Documentary,0
1921,TV Movie,0
1922,Crime,0
1922,Romance,0
1922,Fantasy,0
1922,Drama,1
1922,Western,0
1922,Adventure,1
1922,Comedy,0
1922,Action,0
1922,Horror,0
1922,History,0
1922,Music,0
1922,Mystery,0
1922,Animation,0
1922,Thriller,0
1922,War,0
1922,Family,0
1922,Science Fiction,0
1922,Documentary,0
1922,TV Movie,0
1923,Crime,0
1923,Romance,0
1923,Fantasy,0
1923,Drama,0
1923,Western,0
1923,Adventure,0
1923,Comedy,1
1923,Action,0
1923,Horror,0
1923,History,0
1923,Music,0
1923,Mystery,0
1923,Animation,0
1923,Thriller,0
1923,War,0
1923,Family,0
1923,Science Fiction,0
1923,Documentary,0
1923,TV Movie,0
1924,Crime,0
1924,Romance,1
1924,Fantasy,0
1924,Drama,3
1924,Western,0
1924,Adventure,0
1924,Comedy,1
1924,Action,0
1924,Horror,0
1924,History,0
1924,Music,0
1924,Mystery,0
1924,Animation,0
1924,Thriller,0
1924,War,0
1924,Family,0
1924,Science Fiction,0
1924,Documentary,0
1924,TV Movie,0
1925,Crime,1
1925,Romance,0
1925,Fantasy,0
1925,Drama,2
1925,Western,2
1925,Adventure,2
1925,Comedy,0
1925,Action,0
1925,Horror,0
1925,History,0
1925,Music,0
1925,Mystery,0
1925,Animation,0
1925,Thriller,0
1925,War,0
1925,Family,0
1925,Science Fiction,0
1925,Documentary,0
1925,TV Movie,0
1926,Crime,0
1926,Romance,0
1926,Fantasy,0
1926,Drama,2
1926,Western,0
1926,Adventure,1
1926,Comedy,2
1926,Action,2
1926,Horror,0
1926,History,0
1926,Music,0
1926,Mystery,0
1926,Animation,0
1926,Thriller,0
1926,War,0
1926,Family,0
1926,Science Fiction,0
1926,Documentary,0
1926,TV Movie,0
1927,Crime,0
1927,Romance,0
1927,Fantasy,0
1927,Drama,4
1927,Western,0
1927,Adventure,0
1927,Comedy,1
1927,Action,0
1927,Horror,1
1927,History,1
1927,Music,0
1927,Mystery,0
1927,Animation,0
1927,Thriller,0
1927,War,0
1927,Family,0
1927,Science Fiction,0
1927,Documentary,0
1927,TV Movie,0
1928,Crime,1
1928,Romance,0
1928,Fantasy,0
1928,Drama,8
1928,Western,0
1928,Adventure,2
1928,Comedy,0
1928,Action,0
1928,Horror,0
1928,History,0
1928,Music,0
1928,Mystery,0
1928,Animation,0
1928,Thriller,0
1928,War,0
1928,Family,0
