Year,Attribute,Value
1913,Horror,1
1913,Romance,0
1913,Fantasy,0
1913,Drama,0
1913,Action,0
1913,Comedy,0
1913,Documentary,0
1913,Family,0
1914,Horror,0
1914,Romance,1
1914,Fantasy,1
1914,Drama,0
1914,Action,0
1914,Comedy,0
1914,Documentary,0
1914,Family,0
1915,Horror,0
1915,Romance,0
1915,Fantasy,0
1915,Drama,3
1915,Action,1
1915,Comedy,0
1915,Documentary,0
1915,Family,0
1916,Horror,0
1916,Romance,0
1916,Fantasy,1
1916,Drama,2
1916,Action,1
1916,Comedy,0
1916,Documentary,0
1916,Family,0
1917,Horror,0
1917,Romance,0
1917,Fantasy,0
1917,Drama,0
1917,Action,0
1917,Comedy,0
1917,Documentary,0
1917,Family,0
1918,Horror,0
1918,Romance,0
1918,Fantasy,1
1918,Drama,0
1918,Action,0
1918,Comedy,1
1918,Documentary,0
1918,Family,0
1919,Horror,0
1919,Romance,0
1919,Fantasy,0
1919,Drama,1
1919,Action,0
1919,Comedy,0
1919,Documentary,0
1919,Family,0
1920,Horror,0
1920,Romance,0
1920,Fantasy,0
1920,Drama,2
1920,Action,0
1920,Comedy,0
1920,Documentary,0
1920,Family,0
1921,Horror,0
1921,Romance,1
1921,Fantasy,0
1921,Drama,0
1921,Action,0
1921,Comedy,1
1921,Documentary,0
1921,Family,0
1922,Horror,0
1922,Romance,0
1922,Fantasy,0
1922,Drama,1
1922,Action,1
1922,Comedy,0
1922,Documentary,0
1922,Family,0
1923,Horror,0
1923,Romance,0
1923,Fantasy,0
1923,Drama,0
1923,Action,0
1923,Comedy,1
1923,Documentary,0
1923,Family,0
1924,Horror,0
1924,Romance,1
1924,Fantasy,0
1924,Drama,3
1924,Action,0
1924,Comedy,1
1924,Documentary,0
1924,Family,0
1925,Horror,1
1925,Romance,0
1925,Fantasy,0
1925,Drama,2
1925,Action,4
1925,Comedy,0
1925,Documentary,0
1925,Family,0
1926,Horror,0
1926,Romance,0
1926,Fantasy,0
1926,Drama,2
1926,Action,3
1926,Comedy,2
1926,Documentary,0
1926,Family,0
1927,Horror,1
1927,Romance,0
1927,Fantasy,0
1927,Drama,4
1927,Action,0
1927,Comedy,1
1927,Documentary,1
1927,Family,0
1928,Horror,1
1928,Romance,0
1928,Fantasy,0
1928,Drama,8
1928,Action,2
1928,Comedy,0
1928,Documentary,0
1928,Family,0
1929,Horror,0
1929,Romance,1
1929,Fantasy,0
1929,Drama,1
1929,Action,0
1929,Comedy,3
1929,Documentary,3
1929,Family,0
1930,Horror,0
1930,Romance,0
1930,Fantasy,0
1930,Drama,5
1930,Action,0
1930,Comedy,0
1930,Documentary,0
1930,Family,0
1931,Horror,5
1931,Romance,1
1931,Fantasy,0
1931,Drama,4
1931,Action,1
1931,Comedy,1
1931,Documentary,0
1931,Family,0
1932,Horror,0
1932,Romance,1
1932,Fantasy,0
1932,Drama,7
1932,Action,0
1932,Comedy,0
1932,Documentary,0
1932,Family,0
1933,Horror,0
1933,Romance,0
1933,Fantasy,0
1933,Drama,6
1933,Action,1
1933,Comedy,8
1933,Documentary,0
1933,Family,0
1934,Horror,1
1934,Romance,0
1934,Fantasy,0
1934,Drama,3
1934,Action,0
1934,Comedy,6
1934,Documentary,1
1934,Family,0
1935,Horror,3
1935,Romance,0
1935,Fantasy,0
1935,Drama,3
1935,Action,2
1935,Comedy,4
1935,Documentary,1
1935,Family,0
1936,Horror,1
1936,Romance,0
1936,Fantasy,0
1936,Drama,6
1936,Action,0
1936,Comedy,7
1936,Documentary,0
1936,Family,0
1937,Horror,1
1937,Romance,0
1937,Fantasy,1
1937,Drama,4
1937,Action,0
1937,Comedy,6
1937,Documentary,0
1937,Family,0
1938,Horror,0
1938,Romance,2
1938,Fantasy,0
1938,Drama,3
1938,Action,1
1938,Comedy,4
1938,Documentary,1
1938,Family,0
1939,Horror,0
1939,Romance,1
1939,Fantasy,0
1939,Drama,3
1939,Action,3
1939,Comedy,5
1939,Documentary,0
1939,Family,0
1940,Horror,1
1940,Romance,1
1940,Fantasy,0
1940,Drama,4
1940,Action,3
1940,Comedy,3
1940,Documentary,0
1940,Family,2
1941,Horror,3
1941,Romance,0
1941,Fantasy,0
1941,Drama,1
1941,Action,1
1941,Comedy,4
1941,Documentary,1
1941,Family,2
1942,Horror,6
1942,Romance,1
1942,Fantasy,0
1942,Drama,1
1942,Action,3
1942,Comedy,3
1942,Documentary,1
1942,Family,1
1943,Horror,2
1943,Romance,1
1943,Fantasy,1
1943,Drama,4
1943,Action,3
1943,Comedy,5
1943,Documentary,0
1943,Family,1
1944,Horror,1
1944,Romance,0
1944,Fantasy,0
1944,Drama,4
1944,Action,3
1944,Comedy,3
1944,Documentary,0
1944,Family,0
1945,Horror,5
1945,Romance,0
1945,Fantasy,1
1945,Drama,5
1945,Action,0
1945,Comedy,3
1945,Documentary,0
1945,Family,0
1946,Horror,6
1946,Romance,1
1946,Fantasy,0
1946,Drama,5
1946,Action,2
1946,Comedy,1
1946,Documentary,1
1946,Family,1
1947,Horror,5
1947,Romance,1
1947,Fantasy,0
1947,Drama,3
1947,Action,2
1947,Comedy,6
1947,Documentary,0
1947,Family,0
1948,Horror,2
1948,Romance,1
