movie_id,title,status,year,revenue,budget,budget_to_rev ,popularity,genre,production_countries,genre_raw,,,,,,,,
4575565,Traffic in Souls,Released,1913,1800000,5700,315.78947368421,1.252,Horror,United States of America,"Crime, Drama",,,,,,,,
5326108,The Rose of the Rancho,Released,1914,87028,16988,5.1229102896162,0.9,Romance,United States of America,"Romance, Western, Adventure",,,,,,,,
5268908,Neptune's Daughter,Released,1914,5773000,2221000,2.5992796037821,0.896,Fantasy,United States of America,Fantasy,,,,,,,,
4526599,The Birth of a Nation,Released,1915,11000000,100000,110,13.791,Drama,United States of America,"Drama, History, War",,,,,,,,
4621998,The Girl of the Golden West,Released,1915,102224,15110,6.7653209794838,3.238,Action,United States of America,"Western, Romance",,,,,,,,
4545370,The Cheat,Released,1915,137365,17311,7.9351279533245,3.104,Drama,United States of America,Drama,,,,,,,,
5259223,Temptation,Released,1915,102437,22472,4.5584282662869,0.6,Drama,United States of America,"Drama, Romance",,,,,,,,
4528958,Intolerance: Love's Struggle Throughout the Ages,Released,1916,1750000,385907,4.5347713309165,10.04,Drama,United States of America,"Drama, History",,,,,,,,
4548552,"20,000 Leagues Under the Sea",Released,1916,8000000,200000,40,3.474,Action,"Bahamas, United States of America","Adventure, Drama, Action, Science Fiction",,,,,,,,
4729138,A Daughter of the Gods,Released,1916,1390000,1000000,1.39,0.887,Fantasy,United States of America,"Fantasy, Drama",,,,,,,,
5259250,Maria Rosa,Released,1916,102768,18575,5.532597577389,0.64,Drama,United States of America,Drama,,,,,,,,
4578191,Mickey,Released,1918,8000000,250000,32,1.951,Comedy,United States of America,"Comedy, Drama",,,,,,,,
4605011,The Ghost of Slumber Mountain,Released,1918,3000,3000,1,1.116,Fantasy,United States of America,"Fantasy, Animation",,,,,,,,
4865924,The Miracle Man,Released,1919,3600000,120000,30,1.199,Drama,United States of America,Drama,,,,,,,,
4523040,The Cabinet of Dr. Caligari,Released,1920,8811,18000,0.4895,13.887,Drama,Germany,"Drama, Horror, Thriller, Crime",,,,,,,,
5259198,Over the Hill to the Poorhouse,Released,1920,3000000,100000,30,1.234,Drama,United States of America,"Drama, Crime",,,,,,,,
4522311,The Kid,Released,1921,2500000,250000,10,11.172,Comedy,United States of America,"Comedy, Drama",,,,,,,,
4698760,Fool's Paradise,Released,1921,901937,291367,3.0955358705687,0.996,Romance,United States of America,Romance,,,,,,,,
4541734,Foolish Wives,Released,1922,400200,1100000,0.36381818181818,5.13,Drama,United States of America,"Drama, Thriller",,,,,,,,
5466499,A Dangerous Adventure,Released,1922,142000,175000,0.81142857142857,0.6,Action,United States of America,Adventure,,,,,,,,
4527056,Safety Last!,Released,1923,1500000,121000,12.396694214876,11.505,Comedy,United States of America,"Comedy, Romance, Thriller",,,,,,,,
4534760,The Thief of Bagdad,Released,1924,1490419,1135654,1.3123882802332,10.927,Romance,United States of America,"Romance, Adventure, Fantasy",,,,,,,,
4533468,Greed,Released,1924,274827,665603,0.41289928080252,10.014,Drama,United States of America,"Drama, Crime",,,,,,,,
4540501,He Who Gets Slapped,Released,1924,881000,172000,5.1220930232558,7.941,Drama,United States of America,"Drama, Romance, Thriller",,,,,,,,
4545417,Girl Shy,Released,1924,1550000,400000,3.875,5.749,Comedy,United States of America,"Comedy, Romance, Action",,,,,,,,
4596690,Beau Brummel,Released,1924,495000,343000,1.4431486880466,4.834,Drama,United States of America,Drama,,,,,,,,
4522936,The Gold Rush,Released,1925,4000000,923000,4.3336944745395,14.354,Action,United States of America,"Adventure, Comedy, Drama",,,,,,,,
4539543,Ben-Hur: A Tale of the Christ,Released,1925,9000000,3900000,2.3076923076923,11.032,Action,"Italy, United States of America","Adventure, Drama, Romance",,,,,,,,
4538300,The Big Parade,Released,1925,20000000,382000,52.356020942408,7.834,Drama,United States of America,"Drama, Romance, War",,,,,,,,
4552032,The Unholy Three,Released,1925,704000,103000,6.8349514563107,2.863,Horror,United States of America,"Crime, Drama, Romance, Thriller",,,,,,,,
4589211,Clash of the Wolves,Released,1925,270000,89000,3.0337078651685,1.127,Action,United States of America,"Western, Adventure, Romance",,,,,,,,
5368106,The Great Divide,Released,1925,674000,318000,2.1194968553459,0.922,Action,United States of America,Western,,,,,,,,
5293039,Jewelled Nights,Released,1925,6500,10480,0.62022900763359,0.6,Drama,Australia,"Drama, Adventure",,,,,,,,
4523707,The General,Released,1926,1000000,750000,1.3333333333333,13.777,Comedy,United States of America,"Comedy, War, Adventure, Action",,,,,,,,
4548268,Flesh and the Devil,Released,1926,658000,373000,1.7640750670241,6.006,Drama,United States of America,"Drama, Romance",,,,,,,,
4560474,Sparrows,Released,1926,966878,463455,2.0862392249517,3.774,Drama,United States of America,Drama,,,,,,,,
4577162,Tell It to the Marines,Released,1926,1250000,433000,2.8868360277136,2.193,Action,United States of America,"Action, Comedy, Drama",,,,,,,,
4595441,Beau Geste,Released,1926,1500000,900000,1.6666666666667,2.146,Action,United States of America,"Action, Adventure, Drama",,,,,,,,
4684266,The Sea Beast,Released,1926,938000,503000,1.8648111332008,1.384,Action,United States of America,"Adventure, Fantasy",,,,,,,,
4663674,The Better 'Ole,Released,1926,1273000,449000,2.8351893095768,1.304,Comedy,United States of America,"Comedy, Drama, War",,,,,,,,
4521831,Metropolis,Released,1927,650422,1300000,0.50032461538462,22.817,Drama,Germany,"Drama, Science Fiction",,,,,,,,
4530379,Wings,Released,1927,3600000,2000000,1.8,10.817,Drama,United States of America,"Drama, Action, War, Romance",,,,,,,,
4564904,London After Midnight,Released,1927,1000000,151666,6.593435575541,2.766,Horror,United States of America,"Horror, Drama",,,,,,,,
4578230,My Best Girl,Released,1927,1027757,483103,2.1274076128693,2.461,Drama,United States of America,"Drama, Comedy, Romance",,,,,,,,
4658498,When a Man Loves,Released,1927,1037000,528000,1.9640151515152,1.817,Documentary,United States of America,"History, Romance",,,,,,,,
4967933,Rough House Rosie,Released,1927,1125000,225000,5,1.094,Comedy,United States of America,Comedy,,,,,,,,
4609479,The Battles of the Coronel and Falkland Islands,Released,1927,6241682,1603469,3.8926115815148,0.864,Drama,United Kingdom,"Drama, Documentary",,,,,,,,
4532446,The Jazz Singer,Released,1928,2600000,422000,6.1611374407583,13.418,Drama,United States of America,"Drama, Music",,,,,,,,
4581587,Noah's Ark,Released,1928,2305000,1005000,2.2935323383085,3.312,Drama,United States of America,"Drama, War",,,,,,,,
4557004,West of Zanzibar,Released,1928,921000,259000,3.5559845559846,2.734,Drama,United States of America,"Drama, Mystery",,,,,,,,
4574072,Our Dancing Daughters,Released,1928,1099000,178000,6.1741573033708,2.702,Drama,United States of America,"Drama, Romance",,,,,,,,
4596559,Across to Singapore,Released,1928,596000,290000,2.0551724137931,2.693,Action,United States of America,"Adventure, Drama",,,,,,,,
4595378,Lights of New York,Released,1928,1200000,75000,16,2.352,Horror,United States of America,"Crime, Drama",,,,,,,,
4560845,The Mysterious Lady,Released,1928,551000,337000,1.6350148367953,2.276,Action,United States of America,"Adventure, Drama",,,,,,,,
4559446,Sadie Thompson,Released,1928,7000000,1000000,7,2.195,Drama,United States of America,"Drama, Romance",,,,,,,,
4714131,The Singing Fool,Released,1928,5916000,388000,15.247422680412,1.582,Drama,United States of America,"Drama, Music",,,,,,,,
4637188,The Divine Woman,Released,1928,931000,266817,3.4892829167557,0.869,Drama,United States of America,Drama,,,,,,,,
5359030,On Trial,Released,1928,1454000,130000,11.184615384615,0.655,Drama,United States of America,Drama,,,,,,,,
4536724,The Broadway Melody,Released,1929,4358000,379000,11.498680738786,6.957,Documentary,United States of America,"Music, Romance, Drama",,,,,,,,
4538610,The Cocoanuts,Released,1929,1800000,500000,3.6,6.699,Comedy,United States of America,"Comedy, Music",,,,,,,,
4590384,Our Modern Maidens,Released,1929,857000,283000,3.0282685512367,3.078,Drama,United States of America,"Drama, Comedy",,,,,,,,
5068343,Gold Diggers of Broadway,Released,1929,3967000,532000,7.4567669172932,1.543,Comedy,United States of America,"Comedy, Music",,,,,,,,
4580600,Welcome Danger,Released,1929,3000000,979828,3.0617618602449,1.511,Comedy,United States of America,Comedy,,,,,,,,
4717457,Say It with Songs,Released,1929,2266000,470000,4.8212765957447,1.4,Documentary,United States of America,Music,,,,,,,,
4736817,Rio Rita,Released,1929,2400000,678000,3.5398230088496,0.79,Romance,United States of America,"Romance, Western, Music",,,,,,,,
4740572,The Desert Song,Released,1929,3022000,354000,8.5367231638418,0.688,Documentary,United States of America,"Music, Romance",,,,,,,,
4525095,All Quiet on the Western Front,Released,1930,3270000,1448864,2.2569406100227,16.367,Drama,United States of America,"Drama, War",,,,,,,,
4541362,Hell's Angels,Released,1930,8000000,3950000,2.0253164556962,10.922,Drama,United States of America,"Drama, War, Action",,,,,,,,
4583656,Our Blushing Brides,Released,1930,1211000,337000,3.593471810089,3.324,Drama,United States of America,Drama,,,,,,,,
4712438,Son of the Gods,Released,1930,1432000,436000,3.2844036697248,1.802,Drama,United States of America,Drama,,,,,,,,
4731479,The Runaway Bride,Released,1930,204000,103000,1.9805825242718,1.216,Drama,United States of America,"Drama, Crime",,,,,,,,
4523016,Frankenstein,Released,1931,12000000,291000,41.237113402062,25.884,Drama,United States of America,"Drama, Horror, Science Fiction",,,,,,,,
4523782,Dracula,Released,1931,700000,355000,1.9718309859155,22.098,Horror,United States of America,"Horror, Drama, Fantasy",,,,,,,,
4522222,City Lights,Released,1931,4250000,1500000,2.8333333333333,14.114,Comedy,United States of America,"Comedy, Romance, Drama",,,,,,,,
4528921,The Public Enemy,Released,1931,557000,151000,3.6887417218543,13.099,Horror,United States of America,"Crime, Drama",,,,,,,,
4530413,Dr. Jekyll and Mr. Hyde,Released,1931,1300000,535000,2.4299065420561,10.98,Horror,United States of America,"Horror, Science Fiction, Drama",,,,,,,,
4537603,Cimarron,Released,1931,1383000,1433000,0.96510816468946,8.966,Drama,United States of America,"Drama, Western, History",,,,,,,,
